work_area,survey,site_id,latitude,longitude,preciseLat,preciseLon,depth,line_out_depth,pressure_transducer_depth,time,phaeo_20um,phaeo_3_20um,phaeo_2_20um,phaeo_gff_2um,phaeo_gff_3um,phaeo_bulk_gff,chla_20um,chla_2_20um,chla_3_20um,chla_gff_2um,chla_gff_3um,chla_bulk_gff
,,,degrees_north,degrees_east,degrees_north,degrees_east,m,m,m,UTC,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,20.0,20.0,NaN,2018-05-23T11:43:23Z,1.75325688959589,1.1205514165618,NaN,NaN,0.544063863906463,2.97637094620665,6.56835660357413,NaN,3.0426669959611,NaN,0.365557017699527,8.61082249215234
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,20.0,20.0,NaN,2018-09-11T09:14:49Z,0.33467984816694,0.219875693303039,NaN,NaN,0.26680302095043,0.947275239664552,0.246088607069566,NaN,0.271540550686246,NaN,0.216176975385154,0.858610110730116
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,20.0,20.0,NaN,2018-11-21T14:59:42Z,0.0714106922479535,0.136147766559147,NaN,NaN,0.118635624555605,0.233732491167166,0.0541863126464683,NaN,0.0794064225991734,NaN,0.0716032407385544,0.203255924030299
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,27.7257488,30.0,27.7257488,2018-11-21T14:59:42Z,0.0764700825306982,0.0775911727390109,NaN,NaN,0.0615473764107565,0.233237082404624,0.0309175636068789,NaN,0.0481445011840977,NaN,0.022128805950386,0.104798994179957
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,28.7618054,30.0,28.7618054,2018-09-11T09:14:49Z,0.294521652651016,0.211731909922745,NaN,NaN,0.24557731377976,0.778596928948048,0.235973873944729,NaN,0.154137156009545,NaN,0.114183733987254,0.599470964722644
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,32.5247191,30.0,32.5247191,2018-07-15T10:40:31Z,0.398614424432002,0.26159303211222,NaN,NaN,0.48859682499232,1.45256898340441,0.280580367237385,NaN,0.123701919513327,NaN,0.205713360868433,0.961250790043263
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,30.0,30.0,NaN,2018-05-23T11:43:23Z,1.00749683004933,0.483105827050485,NaN,NaN,0.543363862288884,1.87496704585005,0.786454992781709,NaN,0.338552353982176,NaN,0.14213778483098,1.3928781401838
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,93.5006762,100.0,93.5006762,2018-07-15T10:40:31Z,NaN,NaN,NaN,NaN,NaN,0.377706077662946,NaN,NaN,NaN,NaN,NaN,0.178675901169349
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,93.5251881,100.0,93.5251881,2018-11-21T14:59:42Z,NaN,NaN,NaN,NaN,NaN,0.230750597796725,NaN,NaN,NaN,NaN,NaN,0.0880560800572814
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,94.7022019,100.0,94.7022019,2018-09-11T09:14:49Z,NaN,NaN,NaN,NaN,NaN,0.334491884237384,NaN,NaN,NaN,NaN,NaN,0.0711542750575883
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,100.0,100.0,NaN,2018-05-23T11:43:23Z,NaN,NaN,NaN,NaN,NaN,0.613090902506815,NaN,NaN,NaN,NaN,NaN,0.135806464012622
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,257.7659897,275.0,257.7659897,2018-09-11T09:14:49Z,NaN,NaN,NaN,NaN,NaN,0.172463559733992,NaN,NaN,NaN,NaN,NaN,0.0277731074962337
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,260.1100208,275.0,260.1100208,2018-07-15T10:40:31Z,NaN,NaN,NaN,NaN,NaN,0.35156910864919,NaN,NaN,NaN,NaN,NaN,0.0470611028909856
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,275.0,275.0,NaN,2018-05-23T11:43:23Z,NaN,NaN,NaN,NaN,NaN,0.592374189407321,NaN,NaN,NaN,NaN,NaN,0.114486248646343
CALVERT,FZH,FZH01,51.6394000000001,-127.8958,NaN,NaN,275.0,275.0,NaN,2018-11-21T14:59:42Z,NaN,NaN,NaN,NaN,NaN,0.0773260075270284,NaN,NaN,NaN,NaN,NaN,0.0190358056041841
CALVERT,FZH,KC10,51.6505000000001,-127.9516,51.649768,-127.951565,0.0,0.0,NaN,2018-08-19T10:25:51Z,0.434356249960752,0.180862100023396,NaN,NaN,0.587263892979348,1.26336191005755,2.71852055967914,NaN,0.746494785383886,NaN,1.62803776906481,5.62477436596556
CALVERT,FZH,KC10,51.6505000000001,-127.9516,51.649768,-127.951565,5.8377627,5.0,5.8377627,2018-08-19T10:25:51Z,0.477863028554432,0.40995056571417,NaN,NaN,0.499572417463778,1.43789754983762,1.80844563733844,NaN,1.33586289138887,NaN,1.15398712020871,5.82230230215179
CALVERT,FZH,KC10,51.6505000000001,-127.9516,51.649768,-127.951565,11.2797687,10.0,11.2797687,2018-08-19T10:25:51Z,0.391903204077825,0.700958486363916,NaN,NaN,1.00744619210961,2.06589937740094,1.13187810493696,NaN,2.72263928262644,NaN,4.45904062981681,8.41031916879577
CALVERT,FZH,KC10,51.6505000000001,-127.9516,51.649768,-127.951565,20.7280151,20.0,20.7280151,2018-08-19T10:25:51Z,0.174916336041313,0.223125589610032,NaN,NaN,0.244081523967349,0.574706861112058,0.184712623600071,NaN,0.176333815715241,NaN,0.176648770229471,0.507454487147118
CALVERT,FZH,KC10,51.6505000000001,-127.9516,51.649768,-127.951565,30.6703394,30.0,30.6703394,2018-08-19T10:25:51Z,0.117697163700089,0.105897462098674,NaN,NaN,0.184326364115038,0.529173295890184,0.106598815039548,NaN,0.0634879316035106,NaN,0.0820074832193798,0.487640625148716
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,0.0,0.0,NaN,2018-05-23T09:28:42Z,NaN,0.143495136085565,NaN,NaN,0.181451165026952,3.97040698765722,NaN,NaN,0.256282502908932,NaN,0.413984242864082,6.24780302363582
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,0.0,0.0,NaN,2018-06-27T09:26:08Z,0.468690353968741,0.0765872513115557,NaN,NaN,0.0867096253523738,0.437532410799441,0.442735575332697,NaN,0.101730308096075,NaN,0.104249378761949,0.8951827193941
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,0.0,0.0,NaN,2018-07-15T08:54:25Z,1.58274987022771,0.126070180344519,NaN,NaN,0.117825867402472,2.46498803550912,0.504497759759497,NaN,0.124579494748666,NaN,0.134253743911951,2.80046018914321
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,0.0,0.0,NaN,2018-10-23T10:33:23Z,0.131932855870561,0.240025067808229,NaN,NaN,0.403250881280894,0.821606694193024,0.326723182639846,NaN,0.514747634946993,NaN,0.828511315770641,1.83157415528372
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,0.0,0.0,NaN,2018-11-21T13:59:28Z,0.107239751796503,0.137298428368498,NaN,NaN,0.130452605001471,0.353013055064043,0.228807951936061,NaN,0.395813007192136,NaN,0.201643266445771,0.78753782562686
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,3.8849069,5.0,3.8849069,2018-11-21T13:59:28Z,0.0832566092877286,0.13359078506503,NaN,NaN,0.161301788935652,0.3235031055875,0.14711542323091,NaN,0.331644276243684,NaN,0.279031605272441,0.696255299504601
