work_area,survey,site_id,latitude,longitude,preciseLat,preciseLon,depth,line_out_depth,pressure_transducer_depth,time,phaeo_20um,phaeo_3_20um,phaeo_2_20um,phaeo_gff_2um,phaeo_gff_3um,phaeo_bulk_gff,chla_20um,chla_2_20um,chla_3_20um,chla_gff_2um,chla_gff_3um,chla_bulk_gff
,,,degrees_north,degrees_east,degrees_north,degrees_east,m,m,m,UTC,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,27.7257488,30,27.7257488,2018-11-21T14:59:42Z,0.076470083,0.077591173,NaN,NaN,0.061547376,0.233237082,0.030917564,NaN,0.048144501,NaN,0.022128806,0.104798994
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,28.7618054,30,28.7618054,2018-09-11T09:14:49Z,0.294521653,0.21173191,NaN,NaN,0.245577314,0.778596929,0.235973874,NaN,0.154137156,NaN,0.114183734,0.599470965
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,32.5247191,30,32.5247191,2018-07-15T10:40:31Z,0.398614424,0.261593032,NaN,NaN,0.488596825,1.452568983,0.280580367,NaN,0.12370192,NaN,0.205713361,0.96125079
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,30,30,NaN,2018-05-23T11:43:23Z,1.00749683,0.483105827,NaN,NaN,0.543363862,1.874967046,0.786454993,NaN,0.338552354,NaN,0.142137785,1.39287814
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,93.5006762,100,93.5006762,2018-07-15T10:40:31Z,NaN,NaN,NaN,NaN,NaN,0.377706078,NaN,NaN,NaN,NaN,NaN,0.178675901
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,93.5251881,100,93.5251881,2018-11-21T14:59:42Z,NaN,NaN,NaN,NaN,NaN,0.230750598,NaN,NaN,NaN,NaN,NaN,0.08805608
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,94.7022019,100,94.7022019,2018-09-11T09:14:49Z,NaN,NaN,NaN,NaN,NaN,0.334491884,NaN,NaN,NaN,NaN,NaN,0.071154275
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,100,100,NaN,2018-05-23T11:43:23Z,NaN,NaN,NaN,NaN,NaN,0.613090903,NaN,NaN,NaN,NaN,NaN,0.135806464
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,257.7659897,275,257.7659897,2018-09-11T09:14:49Z,NaN,NaN,NaN,NaN,NaN,0.17246356,NaN,NaN,NaN,NaN,NaN,0.027773107
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,260.1100208,275,260.1100208,2018-07-15T10:40:31Z,NaN,NaN,NaN,NaN,NaN,0.351569109,NaN,NaN,NaN,NaN,NaN,0.047061103
