action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,volume,collected,preserved,analyzed,lab_technician,project_specific_id,hakai_id,is_blank,is_solid_standard,filter_size_mm,filter_type,acetone_volume_ml,flurometer_serial_no,calibration,acid_ratio_correction_factor,acid_coefficient,calibration_slope,before_acid,after_acid,acid_flag,dilution_factor,chla,chla_flag,chla_final,phaeo,phaeo_flag,phaeo_final,analyzing_lab,row_flag,quality_level,comments,quality_log
,380540,1,2018-05-07,JOHNSTONE STRAIT,HAKAI,OCEANOGRAPHY,JSB,2,JS1,50.6204000000001,-126.76469,50.62079583,-126.76504001,,10,,300,2018-05-07T16:10:13.000Z,2018-05-07T20:26:16.000Z,2018-12-13T17:48:00.000Z,,,JSCHL1833,,,,Bulk GF/F,4,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,180500.25,120674.61,,1,1.12760953828001,,,0.76321881831414,,,HAKAI,Collected,Raw,,
,380540,1,2018-05-07,JOHNSTONE STRAIT,HAKAI,OCEANOGRAPHY,JSB,2,JS1,50.6204000000001,-126.76469,50.62079583,-126.76504001,,30,,300,2018-05-07T16:10:13.000Z,2018-05-07T20:26:16.000Z,2018-12-13T17:29:00.000Z,,,JSCHL1834,,,,20um,4,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,154794.51,101493.75,,1,1.00462686857297,,,0.5856601066,,,HAKAI,Collected,Raw,,
,380540,1,2018-05-07,JOHNSTONE STRAIT,HAKAI,OCEANOGRAPHY,JSB,2,JS1,50.6204000000001,-126.76469,50.62079583,-126.76504001,,30,,300,2018-05-07T16:10:13.000Z,2018-05-07T20:26:16.000Z,2018-12-13T17:49:00.000Z,,,JSCHL1835,,,,3um,4,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,17957.86,12807.25,,1,0.0970800640655146,,,0.103594389906124,,,HAKAI,Collected,Raw,,
,380540,1,2018-05-07,JOHNSTONE STRAIT,HAKAI,OCEANOGRAPHY,JSB,2,JS1,50.6204000000001,-126.76469,50.62079583,-126.76504001,,30,,300,2018-05-07T16:10:13.000Z,2018-05-07T20:26:16.000Z,2018-12-13T17:26:00.000Z,,,JSCHL1836,,,,GF/F,4,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,20308.78,15368.87,,1,0.093108734553359,,,0.147703273911464,,,HAKAI,Collected,Raw,,
,380540,1,2018-05-07,JOHNSTONE STRAIT,HAKAI,OCEANOGRAPHY,JSB,2,JS1,50.6204000000001,-126.76469,50.62079583,-126.76504001,,30,,300,2018-05-07T16:10:13.000Z,2018-05-07T20:26:16.000Z,2018-12-13T17:28:00.000Z,,,JSCHL1837,,,,Bulk GF/F,4,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,178024.17,119023.46,,1,1.11206103873344,,,0.752895751000123,,,HAKAI,Collected,Raw,,
,380540,1,2018-05-07,JOHNSTONE STRAIT,HAKAI,OCEANOGRAPHY,JSB,2,JS1,50.6204000000001,-126.76469,50.62079583,-126.76504001,,50,,300,2018-05-07T16:10:13.000Z,2018-05-07T20:26:16.000Z,2018-12-13T17:30:00.000Z,,,JSCHL1838,,,,20um,4,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,158736.32,101174.7,,1,1.08493668853103,,,0.500351150641654,,,HAKAI,Collected,Raw,,
,380540,1,2018-05-07,JOHNSTONE STRAIT,HAKAI,OCEANOGRAPHY,JSB,2,JS1,50.6204000000001,-126.76469,50.62079583,-126.76504001,,50,,300,2018-05-07T16:10:13.000Z,2018-05-07T20:26:16.000Z,2018-12-13T17:26:00.000Z,,,JSCHL1839,,,,3um,4,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,25924.96,18655.43,,1,0.137018030510208,,,0.155290484499348,,,HAKAI,Collected,Raw,,
,380540,1,2018-05-07,JOHNSTONE STRAIT,HAKAI,OCEANOGRAPHY,JSB,2,JS1,50.6204000000001,-126.76469,50.62079583,-126.76504001,,50,,300,2018-05-07T16:10:13.000Z,2018-05-07T20:26:16.000Z,2018-12-13T17:22:00.000Z,,,JSCHL1840,,,,GF/F,4,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,24436.68,18296.68,,1,0.115728349333819,,,0.170958977648461,,,HAKAI,Collected,Raw,,
,380540,1,2018-05-07,JOHNSTONE STRAIT,HAKAI,OCEANOGRAPHY,JSB,2,JS1,50.6204000000001,-126.76469,50.62079583,-126.76504001,,50,,300,2018-05-07T16:10:13.000Z,2018-05-07T20:26:16.000Z,2018-12-13T17:25:00.000Z,,,JSCHL1841,,,,Bulk GF/F,4,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,213522.96,135272.1,,1,1.47489297422667,,,0.644660778928531,,,HAKAI,Collected,Raw,,
,380541,1,2018-05-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMD,2,QU29,50.2536000000001,-125.1885,50.25472893,-125.18955368,,0,,250,2018-05-07T17:28:08.000Z,2018-05-07T17:42:30.000Z,2018-06-05T18:44:13.000Z,rachel.walker,,QCHL7964,,,,20um,10,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,38576.28,24820.48,,1,0.777818906074663,AV,0.777818906074663,0.388903756006732,AV,0.388903756006732,HAKAI,Results,Technicianmr,,1: Event Metadata QCd by BF2: Metadata checked by RW.
,380541,1,2018-05-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMD,2,QU29,50.2536000000001,-125.1885,50.25472893,-125.18955368,,0,,250,2018-05-07T17:28:08.000Z,2018-05-07T17:42:30.000Z,2018-06-05T18:38:12.000Z,rachel.walker,,QCHL7965,,,,3um,10,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,10689.09,7252.63,,1,0.194313929976398,AV,0.194313929976398,0.146606462404869,AV,0.146606462404869,HAKAI,Results,Technicianmr,,1: Event Metadata QCd by BF2: Metadata checked by RW.
,380541,1,2018-05-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMD,2,QU29,50.2536000000001,-125.1885,50.25472893,-125.18955368,,0,,250,2018-05-07T17:28:08.000Z,2018-05-07T17:42:30.000Z,2018-06-05T18:45:27.000Z,rachel.walker,,QCHL7966,,,,GF/F,10,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,10674.62,7557.13,,1,0.176277836367111,AV,0.176277836367111,0.178956020161658,AV,0.178956020161658,HAKAI,Results,Technicianmr,,1: Event Metadata QCd by BF2: Metadata checked by RW.
,380541,1,2018-05-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMD,2,QU29,50.2536000000001,-125.1885,50.25472893,-125.18955368,,0,,250,2018-05-07T17:28:08.000Z,2018-05-07T17:42:30.000Z,2018-06-05T18:35:26.000Z,rachel.walker,,QCHL7967,,,,Bulk GF/F,10,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,61624.2,40673.34,,1,1.18466210664036,AV,1.18466210664036,0.727247232765718,AV,0.727247232765718,HAKAI,Results,Technicianmr,,1: Event Metadata QCd by BF2: Metadata checked by RW.
,380541,1,2018-05-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMD,2,QU29,50.2536000000001,-125.1885,50.25472893,-125.18955368,,5,,250,2018-05-07T17:28:08.000Z,2018-05-07T17:42:30.000Z,2018-06-05T18:40:10.000Z,rachel.walker,,QCHL7968,,,,20um,10,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,44909.95,28812.6,,1,0.91022137336258,AV,0.91022137336258,0.444156679498863,AV,0.444156679498863,HAKAI,Results,Technicianmr,,1: Event Metadata QCd by BF2: Metadata checked by RW.
,380541,1,2018-05-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMD,2,QU29,50.2536000000001,-125.1885,50.25472893,-125.18955368,,5,,250,2018-05-07T17:28:08.000Z,2018-05-07T17:42:30.000Z,2018-06-05T18:39:04.000Z,rachel.walker,,QCHL7969,,,,3um,10,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,11202.53,7627.12,,1,0.202170829393304,AV,0.202170829393304,0.156353008599122,AV,0.156353008599122,HAKAI,Results,Technicianmr,,1: Event Metadata QCd by BF2: Metadata checked by RW.
,380541,1,2018-05-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMD,2,QU29,50.2536000000001,-125.1885,50.25472893,-125.18955368,,5,,250,2018-05-07T17:28:08.000Z,2018-05-07T17:42:30.000Z,2018-06-05T18:27:23.000Z,rachel.walker,,QCHL7970,,,,GF/F,10,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,13097.02,9085.25,,1,0.226844716615766,AV,0.226844716615766,0.200220636901773,AV,0.200220636901773,HAKAI,Results,Technicianmr,,1: Event Metadata QCd by BF2: Metadata checked by RW.
,380541,1,2018-05-07,QUADRA,HAKAI,OCEANOGRAPHY,QOMD,2,QU29,50.2536000000001,-125.1885,50.25472893,-125.18955368,,5,,250,2018-05-07T17:28:08.000Z,2018-05-07T17:42:30.000Z,2018-06-05T18:25:52.000Z,rachel.walker,,QCHL7971,,,,Bulk GF/F,10,720000982,2018-05-04T07:00:00.000Z,2.20291567662531,1.83131346563329,0.000641704045817864,64344.07,41761.3,,1,1.27693812482994,AV,1.27693812482994,0.686112352355824,AV,0.686112352355824,HAKAI,Results,Technicianmr,,1: Event Metadata QCd by BF2: Metadata checked by RW.
